"","RMSE","AUC","TjurR2"
"1",0.226381592031736,0.856716417910448,0.152520754763842
"2",0.215263040923163,0.900735294117647,0.0805629011849827
"3",0.195751738905204,0.719806763285024,0.0298253505221765
"4",0.315582615183262,0.8875,0.233102889655399
"5",0.327315207109788,0.92468085106383,0.491958059812165
"6",0.213864946499383,0.904411764705882,0.0994172279649741
"7",0.247768093100648,0.926767676767677,0.147389128722739
"8",0.214425785160642,0.904411764705882,0.0970586377094665
"9",0.265548959213519,0.89010989010989,0.152408873658516
"10",0.201094155215385,0.952205882352941,0.159254192077891
"11",0.26790192937901,0.95,0.308644988056228
"12",0.245287015293079,0.947252747252747,0.22798574282958
"13",0.286848070261266,0.893548387096774,0.249160423909885
"14",0.196692562664973,0.974264705882353,0.179946729684612
"15",0.273768481098072,0.941129032258065,0.294472240519905
"16",0.283534105122612,0.943368107302534,0.302559245394907
"17",0.255818963366148,0.863636363636364,0.113720311154498
"18",0.25502318897816,0.875,0.123139593137124
"19",0.276729841875465,0.961538461538462,0.622644351992591
"20",0.328731771408055,0.821162444113264,0.141723418290505
"21",0.291305313359022,0.885483870967742,0.230599921104549
"22",0.29465305530937,0.8046875,0.115587033933841
"23",0.249419350979116,0.921978021978022,0.230175770391886
"24",0.228000651384703,0.925373134328358,0.141638883868684
"25",0.341806490152744,0.83435960591133,0.239655157166036
"26",0.22053733446944,0.974747474747475,0.247241815015223
"27",0.223097469646292,0.941791044776119,0.172950967852943
"28",0.257222997853153,0.86489898989899,0.108294106914794
"29",0.187276711800902,0.944444444444444,0.0895815262811026
"30",0.177697835421184,0.990234375,0.537858630999697
"31",0.243124003617492,0.822388059701493,0.0674287955211152
"32",0.177184750560108,0.985294117647059,0.281314250646581
"33",0.214245253839732,0.911764705882353,0.0977314892713771
"34",0.162959896322179,0.990338164251208,0.220411934571277
"35",0.309981702838944,0.880774962742176,0.203554087934997
"36",0.178206184188379,0.980676328502415,0.13801157748091
"37",0.29665863970989,0.916666666666667,0.307718991259193
"38",0.188341370703473,0.905797101449275,0.0832274606390021
"39",0.186018209883299,0.93719806763285,0.0971350388580798
"40",0.207333492748907,0.893382352941177,0.125173253959115
"41",0.215517793429085,0.884191176470588,0.0967303902165415
"42",0.299282699654237,0.7744140625,0.0865399631903982
"43",0.276928492692424,0.579545454545455,0.00856971482601705
"44",0.192059116351429,0.835748792270531,0.0562851797587365
"45",0.177549828985172,0.956521739130435,0.15348198387765
"46",0.189950939023369,0.942028985507246,0.0774182683162466
"47",0.179129567888458,0.946859903381642,0.144774227151076
"48",0.160101812063101,1,0.34653516115559
"49",0.176159762818082,0.971014492753623,0.151901046970045
