"Orc_species","lat","lon","ser1","ser2","K","MaxPrec","MinTemp","N","P","pH","population"
"Spiranthes spiralis",54.26178,-8.61585,1,0,198.04377746582,403,2.59999990463257,3.81638169288635,32.1057319641113,5.63617610931396,"bp"
"Spiranthes spiralis",37.89712,14.37238,1,0,250.441833496094,244,2.20000004768372,3.34031438827515,22.0431728363037,6.72998762130737,"bq"
"Spiranthes spiralis",43.9177,3.50425,1,0,226.889785766602,290,0,3.60155940055847,5.78083992004395,6.66418600082397,"bu"
"Spiranthes spiralis",40.82173,14.39474,1,0,446.337585449219,345,2.90000009536743,2.58922505378723,3.85526943206787,6.46283149719238,"bx"
"Spiranthes spiralis",39.02483,26.32138,1,0,185.959777832031,321,3.40000009536743,2.00818753242493,9.49820327758789,7.20851993560791,"by"
"Spiranthes spiralis",39.09555,26.36539,1,0,299.647521972656,326,3.29999995231628,2.09459543228149,9.22160243988037,7.01736879348755,"cg"
"Spiranthes spiralis",40.82338,14.39321,1,0,270.508178710938,345,2.90000009536743,1.33874714374542,8.77280712127686,6.31015682220459,"ci"
"Spiranthes spiralis",41.30991,14.02031,1,0,468.749389648438,325,1.89999997615814,2.1840512752533,11.2773408889771,6.17968320846558,"cj"
"Spiranthes spiralis",40.8225,14.38295,1,0,305.924865722656,373,3.70000004768372,3.17977261543274,4.07492303848267,7.02010536193848,"cl"
"Spiranthes spiralis",40.82347,14.39286,1,0,270.508178710938,345,2.90000009536743,1.33874714374542,8.77280712127686,6.31015682220459,"cq"
"Spiranthes spiralis",39.10837,26.37353,1,0,433.659729003906,318,3.90000009536743,1.43651032447815,7.23655939102173,6.90751981735229,"cr"
"Spiranthes spiralis",40.8217,14.39482,1,0,446.337585449219,345,2.90000009536743,2.58922505378723,3.85526943206787,6.46283149719238,"cu"
"Spiranthes spiralis",39.10386,26.39202,0,1,248.695617675781,319,3.90000009536743,2.38953971862793,8.96396350860596,6.68322277069092,"cv"
