"Orc_species","lat","lon","tul1","tul10","tul11","tul12","tul13","tul14","tul15","tul16","tul17","tul18","tul19","tul2","tul20","tul21","tul22","tul23","tul24","tul25","tul26","tul27","tul28","tul29","tul3","tul30","tul31","tul32","tul33","tul34","tul35","tul36","tul37","tul38","tul39","tul4","tul40","tul41","tul42","tul43","tul44","tul45","tul46","tul47","tul48","tul49","tul5","tul50","tul51","tul52","tul6","tul7","tul8","tul9","K","MaxPrec","MinTemp","N","P","pH","population"
"Ophrys bertolonii",42.941653,11.866438,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.353302001953,216,0.600000023841858,2.78740763664246,17.8381576538086,6.58590364456177,"a"
"Orchis militaris",58.978639,22.49325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,132.571304321289,220,-5.09999990463257,2.08797383308411,23.4363956451416,5.44014453887939,"x"
"Orchis militaris",59.391528,27.230222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,239,-10.1000003814697,NA,NA,NA,"y"
"Epipactis atrorubens",58.856972,23.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,210,-5.80000019073486,NA,NA,NA,"z"
"Orchis xbergonii",43.91277778,3.51361111,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,274.504547119141,279,0.200000002980232,2.49939918518066,18.2522258758545,7.33768224716187,"aa"
"Orchis anthropophora",43.91277778,3.51361111,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.504547119141,279,0.200000002980232,2.49939918518066,18.2522258758545,7.33768224716187,"ab"
"Orchis simia",43.91277778,3.51361111,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.504547119141,279,0.200000002980232,2.49939918518066,18.2522258758545,7.33768224716187,"ac"
"Orchis anthropophora",50.794671,5.665723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.228805541992,227,0,1.91442704200745,52.0846252441406,6.95857763290405,"ad"
"Orchis anthropophora",50.767724,5.635945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.63671875,230,-0.100000001490116,2.39578604698181,52.9827117919922,6.47724771499634,"ae"
"Orchis militaris",50.794671,5.665723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,230.228805541992,227,0,1.91442704200745,52.0846252441406,6.95857763290405,"af"
"Orchis militaris",50.828297,5.87636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.2763671875,224,-0.300000011920929,1.74340867996216,16.4727344512939,5.31610488891602,"ag"
"Orchis purpurea",50.794671,5.665723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.228805541992,227,0,1.91442704200745,52.0846252441406,6.95857763290405,"ah"
"Orchis purpurea",50.73955,5.823108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.206481933594,239,-0.400000005960464,2.85549879074097,37.3365707397461,6.18757820129395,"ai"
"Orchis tridentata",42.929914,11.875801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.630645751953,233,0.200000002980232,6.63986396789551,32.5128479003906,6.46593856811523,"aj"
"Himantoglossum adriaticum",43.15351,10.96098,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.654602050781,310,1.10000002384186,5.04756355285645,39.704761505127,6.49727201461792,"al"
"Himantoglossum adriaticum",42.92597,11.87873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,263.996704101562,233,0.200000002980232,6.88750743865967,46.0686187744141,6.41903448104858,"am"
"Neottia ovata ",49.128889,13.658889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.518615722656,338,-5.80000019073486,2.86674046516418,21.1768054962158,5.37324666976929,"an"
"Neottia ovata ",48.991944,17.906667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.472518920898,277,-5.59999990463257,3.01020193099976,5.85000705718994,5.75617265701294,"ao"
"Neottia ovata ",48.893333,18.229722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.116943359375,250,-5.40000009536743,2.87844824790955,15.3324213027954,6.53854513168335,"ap"
"Neottia ovata ",49.061111,13.878056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.110427856445,329,-5.69999980926514,2.98040962219238,25.1698513031006,5.56269359588623,"aq"
"Neottia ovata ",42.808611,43.378056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,376,-10,NA,NA,NA,"ar"
"Neottia ovata ",45.188056,0.722222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,329.496429443359,285,2.5,1.93882882595062,24.5135402679443,7.36386585235596,"as"
"Neottia ovata ",50.463889,14.610556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.584770202637,234,-3.29999995231628,1.29740810394287,21.7640266418457,5.31439018249512,"at"
"Neottia cordata",48.970833,13.564722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.229263305664,405,-6.5,2.75191020965576,17.9160690307617,5.75323867797852,"au"
"Neottia ovata ",49.078889,13.557222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.247848510742,383,-6.5,2.60014200210571,23.6425685882568,5.47034311294556,"av"
"Neottia cordata",48.984722,13.513333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.036499023438,396,-6.59999990463257,2.15506362915039,15.7781190872192,5.37199068069458,"aw"
"Neottia ovata ",49.133611,13.503056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.716957092285,311,-5.59999990463257,3.78143334388733,16.7723731994629,5.1916069984436,"ax"
"Neottia ovata ",49.211944,13.341944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.042854309082,346,-6.09999990463257,3.01141905784607,19.8846988677979,5.41998052597046,"ay"
"Neottia ovata ",48.830278,17.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.896530151367,268,-5.19999980926514,2.93024659156799,23.0457725524902,5.79886484146118,"az"
"Neottia ovata ",48.821667,17.550556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.426940917969,277,-5.5,2.8566255569458,2.99504065513611,5.12359857559204,"ba"
"Neottia ovata ",49.154722,13.332778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,113.396629333496,345,-6.09999990463257,2.12649846076965,20.0931816101074,4.90509653091431,"bb"
"Neottia ovata ",48.829167,17.539444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,186.055892944336,268,-5.19999980926514,2.80908942222595,18.6065483093262,5.54621410369873,"bc"
"Neottia ovata ",58.238611,13.734444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82.2126083374023,211,-5.69999980926514,3.38037204742432,21.0420722961426,5.66211557388306,"bd"
"Neottia ovata ",48.889167,17.531944,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.189376831055,259,-4.80000019073486,1.98569846153259,24.5476512908936,5.94849967956543,"be"
"Neottia cordata",45.876944,6.403333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108.671875,440,-5.40000009536743,4.25178337097168,17.6325912475586,6.09946060180664,"bf"
"Neottia ovata ",50.757651,5.8295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,205.276275634766,242,-0.5,3.93004465103149,40.8411407470703,6.03077411651611,"bj"
"Spiranthes spiralis",37.89712,14.37238,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.441833496094,244,2.20000004768372,3.34031438827515,22.0431728363037,6.72998762130737,"br"
"Spiranthes spiralis",39.00381,26.32637,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.397994995117,322,3.5,1.9967668056488,10.2763843536377,6.80684947967529,"bu"
"Spiranthes spiralis",40.82173,14.39474,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.337585449219,345,2.90000009536743,2.58922505378723,3.85526943206787,6.46283149719238,"by"
"Spiranthes spiralis",39.02045,26.32708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,259.275299072266,323,3.29999995231628,1.81798660755157,7.77989816665649,7.03911924362183,"ce"
"Spiranthes spiralis",43.94703,3.528905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,230.08349609375,307,-0.300000011920929,1.88755297660828,8.48822498321533,6.94225025177002,"ci"
